comment_id,video_id,video_title,source_url,author,comment,like_count,published_at,updated_at,total_reply_count
UgzMV8RU4enWv5xEzBt4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@SitihayatunAtun,"Juri nya sangat"" bego ya🗿🤝🗿",0,2026-05-31T15:17:18Z,2026-05-31T15:17:18Z,0
UgxLwlvVxOrlrCoXP2l4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@SPRUNIKY,1:10:35,0,2026-05-31T10:20:42Z,2026-05-31T10:20:42Z,0
UgzHi0J7Yi7Ui1mnJNB4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@tongcekcok7272,1:10:53,0,2026-05-31T08:42:11Z,2026-05-31T08:42:11Z,0
UgyDRaGZndFpCD7tvEx4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@tongcekcok7272,Juri nya memang teliti 🗿🗿🗿🗿😂😂😂,0,2026-05-31T08:41:43Z,2026-05-31T08:41:43Z,0
UgxnFv9lekYP-caoFTd4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@rulimuliandari6218,Artikulasi nya kurang jelas!!,0,2026-05-31T04:09:57Z,2026-05-31T04:09:57Z,0
UgzYvQTA-TXLlHJVhBF4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@keinyot-w8b,Curiga kuping nya ketutupan duit 🤨,1,2026-05-30T07:39:02Z,2026-05-30T07:39:02Z,0
Ugy8ZyIlYaTzG7nMwVZ4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@iate_turtles,Ini si juri telinganya dimana sih😭,1,2026-05-30T04:17:43Z,2026-05-30T04:18:08Z,0
UgxpnllkvrKHHhkOn4F4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@Moch11_louz3p,"""artikulasi nya kurang jelas"" benerin dulu tuh kuping ajng anda apakah tidak bisa mendengar?!!!



SUAP!!!",1,2026-05-30T02:26:59Z,2026-05-30T02:26:59Z,0
UgzdYe8fqAkPtBg_Frh4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@HungLopak-o7m,Juri nya gak cerdas cok,0,2026-05-29T22:59:17Z,2026-05-29T22:59:17Z,0
UgwBOrMK6Vrh5Uc_XDJ4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@SujaSuja-g1i,di curangi musuh bukan di  curangi guru betul,0,2026-05-29T01:14:11Z,2026-05-29T01:14:11Z,0
Ugymb0z2LTnSuuwStYZ4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@dediwahyudin9738,Ini aneh cok jurinya inimah jurinya harus diiket ke rel kereta,0,2026-05-28T16:20:11Z,2026-05-28T16:20:11Z,0
UgzZqS38z5Mx-3UQ0Y94AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@Fyp1x24,Hebat banget MC juri nya sama juri nya minus 5- waw gak😂😂😂,0,2026-05-28T06:33:05Z,2026-05-28T06:33:05Z,0
Ugx-js9a93tFAPm_F_N4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@elywidhiastuti9374,Jurinya tai,0,2026-05-28T04:21:01Z,2026-05-28T04:21:01Z,0
UgzRVoifQehUjtIMeeJ4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@elywidhiastuti9374,Dan lagi 1 kata,0,2026-05-28T04:20:44Z,2026-05-28T04:20:44Z,0
Ugzrlu0ZZzALR4NGFzF4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@elywidhiastuti9374,Woi jurinya nggak adil lah,0,2026-05-28T04:19:39Z,2026-05-28T04:19:39Z,0
UgwP4MrR-FJZBI3CpC14AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@HasbyHusny,Juri apa ini bodoh kali ini,1,2026-05-28T04:10:06Z,2026-05-28T04:10:06Z,0
Ugz0zOahksyv4yXWXzJ4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@PendekSolo,Mc apa ini 😂masa ngak dengar,0,2026-05-27T22:15:10Z,2026-05-27T22:15:10Z,0
UgxJezvTUX5RyEBi0Z14AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@Zendafiee27Afiee,BOYCOTTTT MPR,0,2026-05-27T11:28:27Z,2026-05-27T11:28:27Z,0
Ugw3pFmoKFxr5FP7csp4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@TriarwanFamily,GOBLOK JELAS JELAS JAWAB SAMA APALAAAAH,0,2026-05-27T08:20:40Z,2026-05-27T08:20:40Z,0
Ugxjqn3GBImAqLLmFW14AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@KINGDOMACEH,yang nilai budeg bego,0,2026-05-27T04:24:03Z,2026-05-27T04:24:03Z,0
Ugx_MC-LeZhfl25rejR4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@rianal-s9v,juri nya budeg anying😂,0,2026-05-27T04:05:55Z,2026-05-27T04:05:55Z,0
UgwbWsdUu0QxwNyzZBB4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@Riebachannel,"1:10:23
1:11:23",0,2026-05-26T15:05:40Z,2026-05-26T15:05:40Z,1
UgxlIS6m8ZtMADVtUOt4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@GARUDA_EDITX,1:10:32  perasaan bener,1,2026-05-26T12:24:09Z,2026-05-26T12:24:09Z,0
UgxI3f6KMoj4K8-rD9h4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@KaiInHere-bro,JURI GOBLOKKKKKK PINTERAN GW JIR,1,2026-05-25T09:00:55Z,2026-05-25T09:00:55Z,0
UgyxzdhREpK4vmb_ox14AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@amandaizzatunisa,Bahkan jurinya belum belajar mknya regu c dikasih min -5 hadeh KLO aku disitu langsung aku kasi paham si tapi jujur kasian SM regu c pdhl jwbn ny SM jir😢,0,2026-05-25T06:11:19Z,2026-05-25T06:11:19Z,0
Ugxa8yWUOdJnjZuGfXR4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@dafis21-q6s3d,Lomba cerdas cermat tapi kok mc sam jurinya gak cermat,0,2026-05-24T13:44:13Z,2026-05-24T13:44:13Z,0
UgzR3O4H5vpMNad5AIh4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@yurika4384,"Dari yel yel aja sudah keliatan yang mana yang berkelas 🙂, cuma penonton, tapi ngerasa gimana gitu sampe sekarang.",2,2026-05-24T10:28:21Z,2026-05-24T10:29:08Z,0
Ugyo5BA2yJvR_VneG594AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@flowers_jony,Wah cermat bgtt jurinya saking cermatnya nggak dengar suaranya🥰,1,2026-05-24T09:01:46Z,2026-05-24T09:03:27Z,1
UgyTZ5zUodFSKcEHr294AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@dianyulianti4688,"Juri tuna rungu, penonton bungkam, MC pun sama... Acara Macam apa ini? 
Diajarkan bungkam sejak dini...",0,2026-05-24T07:31:37Z,2026-05-24T07:31:59Z,0
Ugy6EYKtVgOG870wrH14AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@empty_channel01,"Di bungkam Cok team c curang!
Gak adil woy!!

Di kasih 5- masa grup c mungkin dewan juri yang otak nya 5-😡
Mana keadilan bagi grup c woy bangsat😡😡 ini lomba cerdas cermat loh. Orang grup c sama b jawaban nya sama kok malah grup b yang bener sih grup b nyuap ya makanya di benerin 😹😹😹 huh sok putih😹😹😹😹😹😹😹😹😹",0,2026-05-24T04:25:48Z,2026-05-24T04:25:48Z,0
UgztrY3hoLVpwZgieM94AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@MarkusTuger,Mulut MC bau amis,0,2026-05-23T23:36:44Z,2026-05-23T23:36:44Z,0
Ugy5Cs3kc-LgPtx8s0B4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@JiImhe,"Salfok sesi kedua saat group A menjawab , temannya yg dibelakang selalu mengelus pundak temanx yg menjawab,",0,2026-05-23T15:31:07Z,2026-05-23T15:31:07Z,0
UgwugaEHfDnffYuQ1al4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@mczackblezzz,1:13:21  kebanyakan minum mani nih orang jadi sotoy,0,2026-05-23T10:54:06Z,2026-05-23T10:54:06Z,0
Ugyp8RfRzgbgJ75OpYB4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@mczackblezzz,Ini tingkat provinsi tapi tolol bgt jurinya kebanyakan ngentod jadi agak gila,0,2026-05-23T10:49:41Z,2026-05-23T10:49:41Z,0
Ugx7XVzXPJ8nObl9iAp4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@MajidaturRohmah,1:10:05  disini jika mau lihat,0,2026-05-23T09:02:16Z,2026-05-23T09:02:16Z,0
Ugzn-fAJHDoyhSFcRLR4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@lilikprasetyoutomo3130,Juri goblok,0,2026-05-23T07:28:37Z,2026-05-23T07:28:37Z,0
Ugz_gZ_RdRw2EuuLgQh4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@EGGMAN4REAL,JURI KNTL,0,2026-05-23T06:59:06Z,2026-05-23T06:59:06Z,0
UgxUZNWmFot9ix9Fmjl4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@barkahjic,juri lol,0,2026-05-22T14:32:34Z,2026-05-22T14:32:34Z,0
UgyBcNLj18AEtczZxT54AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@barkahjic,ini orang yang tidak mau kalah 😂😂😂😂😂😂,0,2026-05-22T14:32:18Z,2026-05-22T14:32:18Z,0
UgyX7L5gtW_cO4IipdV4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@Plutostone04,1:10:22 — 1:10:36,0,2026-05-22T12:29:11Z,2026-05-22T12:29:52Z,0
Ugwue8_sepHW3Rm4a4l4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@Just_TalkingX,"Ohh ini juri yg goblok itu? Pinteran anak"" dripda tua Bangka kyk klean berdua",0,2026-05-22T11:30:57Z,2026-05-22T11:30:57Z,0
Ugzx5ODfEvj-TkKyC4h4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@AlfidzikriAlfi,Juri cerdas cermat tapi gak cerdas😂😂😂,0,2026-05-22T08:20:52Z,2026-05-22T08:20:52Z,1
UgwFABZSoynAVI2XV3d4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@shandyridwan5645,Dewan jurinya di sogok brp tu? 1:10:42,0,2026-05-22T07:34:59Z,2026-05-22T07:35:09Z,0
UgzQJhm8DqPXVS5z1D94AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@nada.callista,"SAMA PERSIS!, nyontek hanya perasaan,gk! 😡😡😡😡😡😡😠😠😠😠😠😠👎👎👎👎👎👎👎👎👎👎👎👎",0,2026-05-22T06:42:57Z,2026-05-22T06:44:08Z,1
UgwJ2D4cz15C1OwqrUd4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@RfAnnn_41,MC juri on ol😂,0,2026-05-22T05:36:17Z,2026-05-22T05:36:17Z,1
UgzhaABli-j2HOGTEDt4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@sukunpou,Goblok goblok goblok mani juri tolo kalo goblok nggak usah jadi juri tolol,1,2026-05-22T05:06:27Z,2026-05-22T05:06:27Z,0
Ugzks6EolzKNDvy8I2x4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@eniristiyanti825,0:26 0:27 0:27 0:28 0:28 0:28 0:28 0:28 0:28 0:29 0:29 0:29 0:29 0:29,0,2026-05-22T04:42:37Z,2026-05-22T04:42:37Z,0
UgwuL2n-FrLI5fo9KLR4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@DarelExcel-i6g,Jurinya gmn sih budeg apa ocha udah bener tau,0,2026-05-22T01:40:03Z,2026-05-22T01:40:03Z,0
Ugxhif4DwoEi7Q7lqeF4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@sudardarno8570,"PECAT ITU JURI YANG GAK CERMAT, BUKAN HANYA DI NONAKTIFKAN AJA....
MASAK IYA, RAKYAT HARUS NGASIH GAJI JURI GAK CERMAT DAN EGOIS SEPERTI ITU...
BERARTI ORANG NGGAK CERMAT DAN EGOIS BISA JADI PEGAWAI NEGRI YA DAN DAPAT JABATAN DI MPR😄😄😄🤣",0,2026-05-21T17:05:21Z,2026-05-21T17:05:21Z,1
UgzYUVoHNbNk1bcAT2F4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@baller_indra,1:10:29 ini ap. Katanya gk ad dpd lah ini ap😂. Coli bisa otak gk bisa😂,0,2026-05-21T14:44:50Z,2026-05-21T14:44:50Z,0
UgwkcY6QCMlixJj12SF4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@baller_indra,Lomba cerdas cermat tpi juri ny gk cermat😂,0,2026-05-21T14:42:02Z,2026-05-21T14:42:02Z,0
UgzuaHSN6I-lF2IRIVR4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@DarussalamAja-ux2hf,Ohhh jadi ini 😂😂,0,2026-05-21T14:30:56Z,2026-05-21T14:30:56Z,0
UgxF3XNoxC_jKhgtRu54AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@NenengRohyani-c8y,Nih sama yutuber terkenal aja di peragain ni persiden mana si,0,2026-05-21T14:29:09Z,2026-05-21T14:29:09Z,0
UgwRMPRgXG0CKckiCOt4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@Azukiya_Only-YT,"ARRRRRRRRRtikulasi
Nye nye nye diem aja lu nyed",0,2026-05-21T13:36:28Z,2026-05-21T13:36:28Z,0
UgxJ2r-mkqHJ2euOHLR4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@Azukiya_Only-YT,👊👊👊,0,2026-05-21T13:33:31Z,2026-05-21T13:33:31Z,0
